invoice_id,customer_id,category,payment_method,status,issue_date,due_date,payment_date,amount_excl_gst,gst,amount_incl_gst,amount_paid
INV-1048,CUST010,Event Sponsorship,Direct Debit,Paid,22/1/2026,05/02/2026,10/2/2026,3995.0,399.5,4394.5,4394.5
INV-1049,CUST010,Event Sponsorship,DD,Paid,10/01/2026,24/01/2026,16/02/2026,3995.0,399.5,"$4,394.50","$4,394.50"
INV-1050,CUST010,Major Sponsorship,,Overdue,03/13/2026,27/03/2026,,3850.0,385.0,4235.0,0.0
INV-1051,CUST011,Membership Income,EFT,Paid,25/2/2026,03/11/2026,14/03/2026,395.0,39.5,434.5,434.5
INV-1052,CUST011, Events Income,credit card,Paid,05/03/2026,19/03/2026,23/03/2026,100.0,10.0,110.0,110.0
INV-1053,CUST011,Events Income,Credit Card,Paid,29/01/2026,12/02/2026,19/02/2026,320.85,28.88,352.94,352.94
INV-1054,CUST011,Events Income,,Open,22/03/2026,05/04/2026,,387.62,38.76,$426.38,$0.00
INV-1055,CUST012,Membership Income,,Open,15/03/2026,14/04/2026,,2160.0,216.0,2376.0,0.0
INV-1056,CUST012,SPONSORSHIP & ADVERTISING,Direct Debit,Paid,15/01/2026,14/02/2026,14/02/2026,1276.33,127.63,1403.96,1403.96
INV-1057,CUST012,Event Sponsorship,EFT,Paid,17/01/2026,16/02/2026,03/02/2026,3160.0,316.0,3476.0,3476.0
INV-1058,CUST012,Major Sponsorship,EFT,Paid,21/01/2026,20/02/2026,17/02/2026,7022.73,702.27,7725.0,7725.0
INV-1059,CUST013,Membership Income,Credit Card,Paid,02/13/2026,27/02/2026,28/2/2026,395.0,39.5,434.5,434.5
INV-1060,CUST013, Document Signing Revenue,BPAY,Paid,12/03/2026,26/03/2026,26/03/2026,39.0,3.9,42.9,42.9
INV-1061,CUST013, Document Signing Revenue,EFT,Paid,02/03/2026,16/03/2026,16/03/2026,39.0,3.9,42.9,42.9
INV-1062,CUST013,Major Sponsorship,EFT,Paid,21/01/2026,04/02/2026,01/02/2026,3850.0,385.0,4235.0,4235.0
INV-1063,CUST013,Major Sponsorship,Direct Debit,Paid,12/03/2026,26/03/2026,20/03/2026,3850.0,385.0,4235.0,4235.0
INV-1064,CUST014,Membership Income,Credit Card,Paid,2026/03/07,21/03/2026,19/3/2026,395.0,39.5,434.5,434.5
INV-1065,CUST014,EVENTS INCOME,EFT,Paid,16/01/2026,30/01/2026,02/02/2026,320.85,32.09,$352.94,$352.94
INV-1066,CUST014,Sponsorship & Advertising,EFT,Paid,02/01/2026,16/01/2026,16/01/2026,395.0,39.5,434.5,434.5
INV-1067,CUST014,Sponsorship & Advertising,,Overdue,26/02/2026,12/03/2026,,1300.0,130.0,1430.0,0.0
INV-1068,CUST015,Membership Income,EFT,Paid,07/01/2026,21/01/2026,17/01/2026,1300.0,130.0,"$1,430.00","$1,430.00"
INV-1069,CUST015,Document Signing Revenue,,Open,21/03/2026,04/04/2026,,31.82,3.18,35.0,0.0
INV-1070,CUST015,Major Sponsorship,EFT,Paid,27/01/2026,10/02/2026,12/02/2026,3850.0,385.0,4235.0,4235.0
INV-1071,CUST015,Event Sponsorship,,Overdue,02/20/2026,06/03/2026,,3160.0,316.0,3476.0,0.0
INV-1072,CUST015,,,Overdue,16/03/2026,30/03/2026,,108.4,10.84,119.24,0.0
INV-1073,CUST015,Document Signing Revenue,,Open,26/03/2026,09/04/2026,,108.4,10.84,119.24,0.0
INV-1074,CUST015,Sponsorship & Advertising,BPAY,Paid,17/02/2026,03/03/2026,12/03/2026,1300.0,130.0,"$1,430.00","$1,430.00"
INV-1075,CUST015,Document Signing Revenue,EFT,Paid,18-Mar-2026,01-Apr-2026,28/03/2026,31.82,3.18,35.0,35.0
INV-1076,CUST016,Membership Income,EFT,Paid,13/02/2026,15/3/2026,15/03/2026,3850.0,385.0,4235.0,4235.0
INV-1077,CUST016,Event Sponsorship,EFT,Paid,20/01/2026,19/02/2026,13/02/2026,3995.0,399.5,4394.5,4394.5
INV-1078,CUST016,Sponsorship & Advertising,Direct Debit,Paid,26/02/2026,28/03/2026,24/03/2026,1300.0,130.0,1430.0,1430.0
INV-1079,CUST016,Document Signing Revenue,,Open,11/03/2026,10/04/2026,,39.0,3.9,42.9,0.0
INV-1080,CUST016,Events Income,EFT,Paid,08/02/2026,2026/03/10,09-Mar-2026,320.85,32.09,352.94,352.94
INV-1081,CUST017,Membership Income,EFT,Paid,31/01/2026,14/02/2026,17/03/2026,1300.0,130.0,1430.0,1430.0
INV-1082,CUST017,Events Income,EFT,Paid,03/01/2026,17/01/2026,20/03/2026,320.85,32.09,352.94,352.94
INV-1083,CUST017,Event Sponsorship,,Overdue,14/03/2026,28/03/2026,,2000.0,200.0,2200.0,0.0
INV-1084,CUST017,Event Sponsorship,EFT,Paid,15/01/2026,29/01/2026,10/02/2026,2000.0,200.0,2200.0,2200.0
INV-1085,CUST017,Document Signing Revenue,,Overdue,30/01/2026,13/02/2026,,108.4,10.84,119.24,0.0
INV-1086,CUST018, Membership Income,,Open,03/24/2026,23/4/2026,,2160.0,216.0,2376.0,0.0
INV-1087,CUST018,Event Sponsorship,Credit Card,Paid,24/02/2026,26/03/2026,27/03/2026,3160.0,347.6,3476.0,3476.0
INV-1088,CUST018,Sponsorship & Advertising,,Open,2026/03/19,18/04/2026,,395.0,39.5,434.5,0.0
INV-1089,CUST018,Event Sponsorship,,Open,14/03/2026,13/04/2026,,2000.0,200.0,2200.0,0.0
INV-1090,CUST018,Sponsorship & Advertising,Credit Card,Paid,18/02/2026,20-Mar-2026,2026/03/20,1300.0,130.0,1430.0,1430.0
INV-1091,CUST019,Membership Income,EFT,Paid,04/01/2026,18/01/2026,25/02/2026,1300.0,130.0,1430.0,1430.0
INV-1092,CUST019,Sponsorship & Advertising,,Overdue,04/02/2026,18/02/2026,,1276.33,127.63,1403.96,0.0
INV-1093,CUST019,Event Sponsorship,,Open,03/17/2026,31/03/2026,,3160.0,316.0,3476.0,0.0
INV-1094,CUST019,Event Sponsorship,,Overdue,23/01/2026,06/02/2026,,3995.0,399.5,"$4,394.50",$0.00
INV-1095,CUST019,Event Sponsorship,,Open,2026/03/20,03/04/2026,,3160.0,316.0,3476.0,0.0
INV-1096,CUST019,,,Overdue,2026/02/06,20/02/2026,,1300.0,130.0,"$1,430.00",$0.00
INV-1097,CUST019,Document Signing Revenue,,Overdue,14/02/2026,28/02/2026,,39.0,3.9,42.9,0.0
INV-1098,CUST019,Document Signing Revenue,,Open,29/03/2026,12/04/2026,,39.0,3.9,42.9,0.0
INV-1099,CUST020,Membership Income,EFT,Paid,28/02/2026,30/03/2026,27/03/2026,2160.0,216.0,2376.0,2376.0
INV-1100,CUST020,Major Sponsorship,Direct Debit,Paid,22/02/2026,24/03/2026,20/03/2026,7022.73,702.27,7725.0,7725.0
INV-1101,CUST020,Events Income ,Credit Card,Paid,18/02/2026,20/03/2026,12/03/2026,387.62,38.76,426.38,426.38
INV-1102,CUST020,Major Sponsorship,EFT,Paid,28/01/2026,27/02/2026,01/03/2026,3850.0,385.0,4235.0,4235.0
INV-1103,CUST020, Major Sponsorship,,Open,21/03/2026,20/04/2026,,3850.0,385.0,4235.0,0.0
INV-1104,CUST020,Document Signing Revenue,EFT,Paid,04/02/2026,06/03/2026,05-Mar-2026,108.4,10.84,119.24,119.24
INV-1105,CUST021,Membership Income,eft,Paid,16/01/2026,02/15/2026,27/2/2026,2160.0,216.0,2376.0,2376.0
INV-1106,CUST021,Events Income,Direct Debit,Paid,18/02/2026,20/03/2026,26/03/2026,108.4,10.84,$119.24,$119.24
INV-1107,CUST021,Event Sponsorship,,Open,08/03/2026,07/04/2026,,3995.0,399.5,4394.5,0.0
INV-1108,CUST021,Document Signing Revenue,,Open,20/03/2026,19/04/2026,,31.82,3.18,35.0,0.0
INV-1109,CUST021,Major Sponsorship,EFT,Paid,20/01/2026,19/02/2026,02/03/2026,7022.73,702.27,7725.0,7725.0
INV-1110,CUST021,Sponsorship & Advertising,,Open,19/03/2026,18/04/2026,,1300.0,130.0,1430.0,0.0
INV-1111,CUST022,Membership Income,BPAY,Paid,17/03/2026,2026/03/31,29/03/2026,1300.0,130.0,1430.0,1430.0
INV-1112,CUST022,Event Sponsorship,Direct Debit,Paid,24/02/2026,10/03/2026,05/03/2026,2000.0,200.0,2200.0,2200.0
INV-1113,CUST022,Major Sponsorship,EFT,Paid,14/2/2026,28/02/2026,06/03/2026,3850.0,385.0,4235.0,4235.0
INV-1114,CUST022, Major Sponsorship,eft,Paid,04-Mar-2026,18/03/2026,29/3/2026,7022.73,632.04,7725.0,7725.0
INV-1115,CUST022,Event Sponsorship,EFT,Paid,10-Jan-2026,24/01/2026,30/01/2026,3995.0,399.5,4394.5,4394.5
INV-1116,CUST022,Event Sponsorship,,Open,25/03/2026,08/04/2026,,3995.0,399.5,4394.5,0.0
INV-1117,CUST022,Event Sponsorship,Direct Debit,Paid,23/01/2026,06/02/2026,11/02/2026,3995.0,399.5,"$4,394.50","$4,394.50"
INV-1118,CUST023,Membership Income,,Overdue,29/01/2026,12/02/2026,,1300.0,130.0,1430.0,0.0
INV-1119,CUST023,Event Sponsorship,EFT,Paid,01/21/2026,04/02/2026,11/02/2026,3995.0,399.5,4394.5,4394.5
INV-1120,CUST023,Document Signing Revenue,,Open,21/03/2026,04/04/2026,,108.4,10.84,119.24,0.0
INV-1121,CUST023,document signing revenue,Credit Card,Paid,07/02/2026,21/02/2026,25/02/2026,108.4,9.76,119.24,119.24
INV-1122,CUST023,Document Signing Revenue,EFT,Paid,04/01/2026,18/01/2026,25/01/2026,32.09,3.21,35.3,35.3
INV-1123,CUST024,Membership Income,Credit Card,Paid,28/01/2026,11/02/2026,25/02/2026,395.0,39.5,434.5,434.5
INV-1124,CUST024, Major Sponsorship,bpay,Paid,03/01/2026,17/01/2026,21/02/2026,3850.0,385.0,4235.0,4235.0
INV-1125,CUST024,,BPAY,Paid,16/02/2026,02/03/2026,13-Mar-2026,7022.73,702.27,"$7,725.00","$7,725.00"
INV-1126,CUST024,Major Sponsorship ,Credit Card,Paid,03/02/2026,17/02/2026,07/03/2026,3850.0,385.0,4235.0,4235.0
INV-1127,CUST024,Events Income,Credit Card,Paid,08/03/2026,22/03/2026,30/03/2026,320.85,32.09,352.94,352.94
INV-1128,CUST024,Event Sponsorship,,Open,31/03/2026,14/04/2026,,3995.0,399.5,4394.5,0.0
INV-1129,CUST024,Document Signing Revenue,EFT,Paid,23/02/2026,09/03/2026,27/03/2026,32.09,3.21,35.3,35.3
INV-1130,CUST024,Event Sponsorship,,Overdue,21/02/2026,07/03/2026,,2000.0,200.0,2200.0,0.0
INV-1131,CUST025,Membership Income,eft,Paid,04/01/2026,18/01/2026,17/01/2026,1300.0,130.0,1430.0,1430.0
INV-1132,CUST025, Major Sponsorship,Credit Card,Paid,06/01/2026,20/01/2026,18/01/2026,7022.73,702.27,7725.0,7725.0
INV-1133,CUST025,Document Signing Revenue,,Overdue,13/03/2026,27/03/2026,,108.4,10.84,$119.24,$0.00
INV-1134,CUST025,Major Sponsorship,EFT,Paid,01/01/2026,15/01/2026,15/01/2026,7022.73,702.27,7725.0,7725.0
INV-1135,CUST025,Major Sponsorship,,Open,29/03/2026,12/04/2026,,3850.0,385.0,4235.0,0.0
INV-1136,CUST025,Document Signing Revenue,BPAY,Paid,02/01/2026,16/01/2026,15/01/2026,32.09,3.21,35.3,35.3
INV-1137,CUST025,Sponsorship & Advertising,EFT,Paid,15/03/2026,29/03/2026,23/03/2026,1276.33,127.63,1403.96,1403.96
INV-1138,CUST026,Membership Income,EFT,Paid,24/01/2026,23/02/2026,17/02/2026,2160.0,216.0,"$2,376.00","$2,376.00"
INV-1139,CUST026,Event Sponsorship,Credit Card,Paid,05/02/2026,07/03/2026,16/03/2026,2000.0,200.0,2200.0,2200.0
INV-1140,CUST026,Event Sponsorship,,Open,26/03/2026,25/04/2026,,2000.0,200.0,2200.0,0.0
INV-1141,CUST026,Document Signing Revenue,EFT,Paid,04/02/2026,06/03/2026,04/03/2026,31.82,3.18,35.0,35.0
INV-1142,CUST027,Membership Income,,Overdue,10/02/2026,24/02/2026,,395.0,39.5,434.5,0.0
INV-1143,CUST027,Event Sponsorship,eft,Paid,30/01/2026,13/02/2026,14/02/2026,2000.0,200.0,2200.0,2200.0
INV-1144,CUST027,Major Sponsorship,credit card,Paid,31/01/2026,14/02/2026,14/2/2026,7022.73,702.27,"$7,725.00","$7,725.00"
INV-1145,CUST027,Events Income ,BPAY,Paid,01/01/2026,01/15/2026,20/01/2026,387.62,38.76,426.38,426.38
INV-1146,CUST028,Membership Income,,Open,18/03/2026,01/04/2026,,1300.0,130.0,1430.0,0.0
INV-1147,CUST028,Major Sponsorship,,Open,24/03/2026,07/04/2026,,3850.0,385.0,4235.0,0.0
INV-1148,CUST028,EVENT SPONSORSHIP,Credit Card,Paid,26/02/2026,12/03/2026,16/03/2026,3995.0,399.5,4394.5,4394.5
INV-1149,CUST028,Document Signing Revenue,Direct Debit,Paid,11/02/2026,25/02/2026,25/02/2026,31.82,3.18,35.0,35.0
INV-1150,CUST028,Major Sponsorship,EFT,Paid,11/03/2026,25/03/2026,26/03/2026,7022.73,702.27,7725.0,7725.0
INV-1151,CUST028,Major Sponsorship,EFT,Paid,13/02/2026,27/02/2026,06/03/2026,7022.73,702.27,7725.0,7725.0
INV-1152,CUST028,Document Signing Revenue,,Open,24/03/2026,04/07/2026,,39.0,3.9,42.9,0.0
INV-1153,CUST029,Membership Income,EFT,Paid,02/09/2026,2026/03/11,11-Mar-2026,2160.0,216.0,2376.0,2376.0
INV-1154,CUST029,Document Signing Revenue,DD,Paid,21/02/2026,23/3/2026,03/24/2026,39.0,3.9,42.9,42.9
INV-1155,CUST029,Events Income,,Overdue,02/02/2026,04/03/2026,,100.0,10.0,110.0,0.0
INV-1156,CUST029,Major Sponsorship,EFT,Paid,16/01/2026,15/02/2026,09/02/2026,7022.73,702.27,7725.0,7725.0
INV-1157,CUST029,Sponsorship & Advertising,,Open,8/3/2026,07/04/2026,,1300.0,130.0,1430.0,0.0
INV-1158,CUST029,Event Sponsorship,Credit Card,Paid,09/03/2026,08/04/2026,2026/03/31,2000.0,200.0,2200.0,2200.0
INV-1159,CUST029,Event Sponsorship,,Open,17/03/2026,04/16/2026,,3160.0,316.0,3476.0,0.0
INV-1160,CUST030,Membership Income,,Overdue,15/01/2026,29/01/2026,,1300.0,130.0,1430.0,0.0
INV-1161,CUST030,Events Income,EFT,Paid,08-Feb-2026,22-Feb-2026,26/02/2026,108.4,10.84,119.24,119.24
INV-1162,CUST030,Sponsorship & Advertising,eft,Paid,05/03/2026,19/03/2026,25/03/2026,395.0,39.5,434.5,434.5
INV-1163,CUST030,Major Sponsorship,EFT,Paid,2026/03/10,24/03/2026,24/03/2026,7022.73,702.27,"$7,725.00","$7,725.00"
INV-1164,CUST030,Event Sponsorship,EFT,Paid,10/03/2026,24/03/2026,17/03/2026,2000.0,200.0,2200.0,2200.0
INV-1165,CUST030,Event Sponsorship,,Overdue,14/03/2026,28/03/2026,,3995.0,399.5,4394.5,0.0
INV-1166,CUST030,Document Signing Revenue,EFT,Paid,22/01/2026,05/02/2026,04/02/2026,31.82,3.18,35.0,35.0
INV-1167,CUST030,Sponsorship & Advertising,EFT,Paid,18/01/2026,01/02/2026,05/02/2026,1300.0,130.0,1430.0,1430.0
INV-1168,CUST030,Document Signing Revenue,Credit Card,Paid,11/02/2026,25/02/2026,21/02/2026,32.09,3.21,35.3,35.3
INV-1169,CUST031,Membership Income,EFT,Paid,22/02/2026,08/03/2026,10/03/2026,395.0,39.5,434.5,434.5
INV-1170,CUST031,Sponsorship & Advertising,,Open,26/03/2026,09/04/2026,,1276.33,127.63,"$1,403.96",$0.00
INV-1171,CUST031,Document Signing Revenue,Direct Debit,Paid,19/01/2026,02/02/2026,29/01/2026,32.09,3.21,35.3,35.3
INV-1172,CUST031,SPONSORSHIP & ADVERTISING,,Overdue,15/3/2026,29/3/2026,,1300.0,130.0,1430.0,0.0
INV-1173,CUST031,Major Sponsorship,EFT,Paid,2026/01/06,20/01/2026,26/01/2026,7022.73,702.27,7725.0,7725.0
INV-1174,CUST031,Events Income,EFT,Paid,6/3/2026,20/03/2026,27/3/2026,320.85,32.09,352.94,352.94
INV-1175,CUST031,Events Income,Credit Card,Paid,24/1/2026,07/02/2026,08/02/2026,387.62,38.76,426.38,426.38
INV-1176,CUST032,Membership Income,,Overdue,21/02/2026,7/3/2026,,1300.0,130.0,1430.0,0.0
INV-1177,CUST032,Events Income,,Open,03/27/2026,10/04/2026,,100.0,10.0,110.0,0.0
INV-1178,CUST032,Major Sponsorship,,Open,26/03/2026,09/04/2026,,3850.0,423.5,4235.0,0.0
INV-1179,CUST032,Document Signing Revenue,,Overdue,11/03/2026,25/03/2026,,31.82,3.18,35.0,0.0
INV-1180,CUST032,Events Income,,Overdue,05/03/2026,19/03/2026,,108.4,10.84,119.24,0.0
INV-1181,CUST032,Events Income,,Open,26/03/2026,09/04/2026,,387.62,38.76,$426.38,$0.00
INV-1182,CUST032,Event Sponsorship,,Overdue,14/02/2026,28/02/2026,,2000.0,220.0,2200.0,0.0
INV-1183,CUST032,Event Sponsorship,EFT,Paid,10/01/2026,24/01/2026,14/03/2026,2000.0,200.0,2200.0,2200.0
INV-1184,CUST033,Membership Income,Direct Debit,Paid,23-Jan-2026,22/02/2026,07/03/2026,3850.0,385.0,4235.0,4235.0
INV-1185,CUST033,Document Signing Revenue,EFT,Paid,07/01/2026,06/02/2026,03/04/2026,31.82,3.18,35.0,35.0
INV-1186,CUST033,Sponsorship & Advertising,Credit Card,Paid,07/01/2026,06/02/2026,23/02/2026,1276.33,127.63,1403.96,1403.96
INV-1187,CUST033,Events Income,,Overdue,02/26/2026,28/03/2026,,150.0,15.0,165.0,0.0
INV-1188,CUST033, Major Sponsorship,,Overdue,17/02/2026,19/03/2026,,7022.73,702.27,7725.0,0.0
INV-1189,CUST034,Membership Income,EFT,Paid,2026/01/18,01/02/2026,15/03/2026,1300.0,130.0,1430.0,1430.0
INV-1190,CUST034,Document Signing Revenue,Credit Card,Paid,16/02/2026,02/03/2026,11/03/2026,39.0,3.9,42.9,42.9
INV-1191,CUST034,Event Sponsorship,,Overdue,2026/02/19,05-Mar-2026,,2000.0,200.0,2200.0,0.0
INV-1192,CUST034,Event Sponsorship,,Overdue,21/02/2026,07/03/2026,,3995.0,399.5,"$4,394.50",$0.00
INV-1193,CUST034,Events Income,Direct Debit,Paid,14/02/2026,28/02/2026,22/02/2026,108.4,10.84,119.24,119.24
INV-1194,CUST034,Major Sponsorship,,Open,17/03/2026,31/03/2026,,3850.0,385.0,4235.0,0.0
INV-1195,CUST035,Membership Income,Direct Debit,Paid,27/01/2026,10/02/2026,11/02/2026,1300.0,130.0,1430.0,1430.0
INV-1196,CUST035,Major Sponsorship,Direct Debit,Paid,08/01/2026,22/01/2026,18/01/2026,7022.73,702.27,7725.0,7725.0
INV-1197,CUST035,Sponsorship & Advertising,,Open,21/03/2026,04/04/2026,,395.0,39.5,434.5,0.0
INV-1198,CUST036,Membership Income,Direct Debit,Paid,14/02/2026,28/02/2026,01/03/2026,1300.0,130.0,"$1,430.00","$1,430.00"
INV-1199,CUST036,Sponsorship & Advertising,,Open,30/03/2026,13/04/2026,,1276.33,127.63,1403.96,0.0
INV-1200,CUST036,Events Income,Direct Debit,Paid,09/03/2026,23/03/2026,28/03/2026,108.4,10.84,119.24,119.24
INV-1201,CUST036,Event Sponsorship,EFT,Paid,06/03/2026,20/03/2026,22/03/2026,3160.0,316.0,3476.0,3476.0
INV-1202,CUST037,Membership Income,EFT,Paid,08/02/2026,10/03/2026,19/03/2026,3850.0,385.0,4235.0,4235.0
INV-1203,CUST037,Event Sponsorship,EFT,Paid,22/02/2026,24/03/2026,17/03/2026,2000.0,200.0,2200.0,2200.0
INV-1204,CUST037,Sponsorship & Advertising,EFT,Paid,19/02/2026,21/03/2026,03/27/2026,1276.33,127.63,1403.96,1403.96
INV-1205,CUST037,Document Signing Revenue,EFT,Paid,05/02/2026,07/03/2026,05/03/2026,31.82,3.18,35.0,35.0
INV-1206,CUST037,Event Sponsorship,EFT,Paid,03/01/2026,02/02/2026,03/02/2026,3160.0,316.0,3476.0,3476.0
INV-1207,CUST037,Document Signing Revenue,,Open,22/3/2026,21/4/2026,,108.4,10.84,119.24,0.0
INV-1208,CUST038,membership income,,Open,19/03/2026,02/04/2026,,1300.0,130.0,1430.0,0.0
INV-1209,CUST038,Document Signing Revenue,,Open,20/03/2026,03/04/2026,,31.82,3.18,35.0,0.0
INV-1210,CUST038,Document Signing Revenue,eft,Paid,11/01/2026,25/01/2026,25/01/2026,31.82,3.18,35.0,35.0
INV-1211,CUST038,Major Sponsorship,BPAY,Paid,13/03/2026,27/03/2026,28/03/2026,3850.0,385.0,4235.0,4235.0
INV-1212,CUST038,Events Income,EFT,Paid,13/02/2026,27/02/2026,27/02/2026,150.0,15.0,165.0,165.0
INV-1213,CUST038,Events Income,EFT,Paid,03/01/2026,17/01/2026,11/01/2026,200.0,20.0,220.0,220.0
INV-1214,CUST039,Membership Income,,Overdue,14/02/2026,28/02/2026,,1300.0,130.0,1430.0,0.0
INV-1215,CUST039,Sponsorship & Advertising,,Open,31-Mar-2026,14/04/2026,,1300.0,130.0,1430.0,0.0
INV-1216,CUST039,Events Income,,,22-Mar-2026,05-Apr-2026,,108.4,10.84,119.24,0.0
INV-1217,CUST039,Event Sponsorship,EFT,Paid,27/02/2026,13/03/2026,26/03/2026,2000.0,200.0,2200.0,2200.0
