customer_id,customer_name,industry,member_tier,payment_terms_days,credit_limit,member_since,state
CUST302,Barton Agency ACT,Government,Corp,30 days,20000,2021-06-09,A.C.T.
CUST303,Holt IT Services Co,Technology,,14,2000,2024-05-09,ACT
CUST304,Weston Kitchen ACT,Hospitality,Associate,14,2000,2025-01-04,ACT
CUST305,Isabella Software,Technology,Standard,14,5000,2024-09-10,ACT
CUST306,Bruce Roasters Co,hospitality ,Standard,14,5000,2025-01-12,ACT
CUST307,Turner Associates,Professional Services,Standard,14,5000,06-13-2022,ACT
CUST308,Charnwood Chambers Co,Legal,assoc,14,2000,2024-02-24,ACT
CUST309,Florey Community Group,Not-for-profit,Standard,14,5000,2022-07-22,ACT
CUST310,Florey Chambers,Legal,Premium,30,10000,2024-06-27,Australian Capital Territory
CUST311,Wanniassa Recruitment Pty Ltd,Recruitment,Corporate,30,20000,2025-10-15,ACT
CUST312,Holt Consulting Group,Prof Services,STANDARD,14,5000,2021-02-23,ACT
CUST313,Acton Outreach ACT,Not-for-profit,Standard,14,5000,2024-09-06,ACT
CUST314,Hawker Hotel Group,Hospitality,assoc,14,2000,2025-04-13,ACT
CUST315,Canberra Care Network Pty Ltd,Not-for-profit,Standard,14,5000,2025-10-26,ACT
CUST316,Florey Office,Government,Premium,30,10000,2022-05-16,ACT
CUST317,Deakin Civil Group,Construction,Premium,30,10000,2022-11-22,ACT
CUST318,Barton Partners Pty Ltd,Professional Services,Standard,14 days,5000,2021-01-03,ACT
CUST319,Monash Construct Co,Construction,Associate,14,2000,2025-04-02,ACT
CUST320,Yarralumla Dental Group,Healthcare,STANDARD,14,5000,2021-10-12,ACT
CUST321,Mitchell Group,Professional Services,Standard,14,5000,2023-04-26,ACT
CUST322,Watson Dental,HEALTHCARE,Premium,30,10000,25-Apr-21,ACT
CUST323,Greenway Trust,NFP,Corp,30,20000,2022-01-13,ACT
CUST324,Ainslie Advocates,Legal,Associate,14,2000,2023-10-04,ACT
CUST325,Mitchell Wellness Co,Healthcare,Standard,14,5000,2023-05-15,ACT
CUST326,Ainslie Talent,Recruitment,Premium,30,10000,2023-05-18,ACT
CUST327,Capital Civil Co,,Associate,14,2000,2024-08-16,ACT
CUST328,Conder Counsel Co,Legal,Associate,14,2000,2022-07-14,ACT
CUST329,Wanniassa Partners ACT,Professional Services,Standard,14,"$5,000",2023-05-13,ACT
CUST330,Capital Physio Co,Healthcare,Associate,14 days,2000,2022-08-29,ACT
CUST331,Monash Goods Co,Retail,Corp,30,20000,2024-09-29,ACT
CUST332,Mitchell Bookkeeping Co,Finance,Standard,14,5000,2024-09-23,ACT
CUST333,Yarralumla Education ACT,Education,Standard,14,5000,2025-08-08,act
CUST334,Calwell Authority,Government,Associate,14,2000,2025-12-01,ACT
CUST335,Wanniassa Traders,Retail,assoc,14,2000,2022-05-07,ACT
CUST336,Holt Chambers,Legal,Standard,14,5000,2023-12-01,ACT
CUST337,Hawker Staffing,Recruitment,Standard,14,5000,2021-06-15,ACT
CUST338,Hawker Advisory,Professional Services,,14 days,2000,2022-03-22,ACT
CUST339,Phillip Agency,Government,Associate,14,2000,2023-12-14,ACT
